25/01/2016 ;Lazer;DEBITO VISA ELECTRON BRASIL 25/01 MARE;353986;-175
25/01/2016 ;Alimentação;DEBITO VISA ELECTRON BRASIL 25/01 MC DONALDS.A.FR;161086;-53
25/01/2016 ;Outras despesas;PGTO TITULO OUTRO BCO - INTERNET PONTOFRIO.COM;215113;-108,97
26/01/2016 ;Alimentação;DEBITO VISA ELECTRON BRASIL 26/01 PADARIA DELICIA;62586;-9,5
26/01/2016 ;Alimentação;DEBITO VISA ELECTRON BRASIL 26/01 RB FAST FOOD;354986;-16
26/01/2016 ;Alimentação;DEBITO VISA ELECTRON BRASIL 26/01 PADARIA DELICIA;314386;-5,5
27/01/2016 ;Moradia;PAGAMENTO CONTA LUZ EM CANAIS INTERNET AES ELETROPAULO;0;-92,56
27/01/2016 ;Outras despesas;TAR EXTR CONSOLIDADO INTELIGENTE 25/01/2016;0;-5,8
27/01/2016 ;Moradia;DEBITO AUT. CONTA AGUA E ESGOTO SABESP;0;-28,9
27/01/2016 ;Alimentação;DEBITO VISA ELECTRON BRASIL 27/01 RV FAST FOOD;450586;-13
27/01/2016 ;Alimentação;DEBITO VISA ELECTRON BRASIL 27/01 PADARIA DELICIA;75886;-5,5
28/01/2016 ;Alimentação;DEBITO VISA ELECTRON BRASIL 28/01 RB FAST FOOD;171086;-13
29/01/2016 ;Alimentação;DEBITO VISA ELECTRON BRASIL 29/01 PADARIA DELICIA;120986;-17,23
29/01/2016 ;Outras despesas;DEBITO VISA ELECTRON BRASIL 29/01 LOJA DE ACESSOR;291986;-21
