04/01/2016 ;Lazer;4;DEBITO VISA ELECTRON BRASIL 01/01 DJ CLUB;450586;-56
04/01/2016 ;Outras despesas;6;DEBITO VISA ELECTRON BRASIL 02/01 CARREFOUR TTE 4;222586;-45,65
04/01/2016 ;Lazer;4;DEBITO VISA ELECTRON BRASIL 03/01 VIOLETA RESTAUR;520786;-57,05
04/01/2016 ;Lazer;4;DEBITO VISA ELECTRON BRASIL 03/01 DJ CLUB;385686;-102
04/01/2016 ;Transporte;11;DEBITO VISA ELECTRON BRASIL 03/01 ESTACIONAMENTO.;122886;-7
05/01/2016 ;Alimentação;1;DEBITO VISA ELECTRON BRASIL 05/01 BOB.S.SHOP ARIC;320886;-18,5
06/01/2016 ;Saúde;10;DEBITO AUTOM EMPRESAS CONVENIADAS ESC. BIO PAULI;0;-55,23
06/01/2016 ;Transporte;11;PGTO TITULO OUTRO BCO - INTERNET SAO PAULO TRANSPORTE S/A;141647;-48
06/01/2016 ;Educação;3;DEBITO VISA ELECTRON BRASIL 06/01 LIVR CULTURA;270186;-35,9
06/01/2016 ;Transporte;11;DEBITO VISA ELECTRON BRASIL 06/01 PERTO METRO SAO;525886;-10
06/01/2016 ;Saúde;10;DEBITO VISA ELECTRON BRASIL 06/01 DROGA RAIA F66;362386;-17,36
07/01/2016 ;Salário;9;PAGAMENTO A FORNECEDORES CNPJ 057978850000186;10107;2.300,35
07/01/2016 ;Alimentação;1;DEBITO VISA ELECTRON BRASIL 07/01 PANIFICADORA ER;242186;-7,95
07/01/2016 ;Outras despesas;6;EMISSAO DE DOC D VIA BCE 237-0095-00000032305;92622;-490,81
07/01/2016 ;Transporte;11;PGTO LICENCIAMENTO VEICULOS CANAIS INTERNET LICENCIAMENTO EL;0;-208,93
07/01/2016 ;Transporte;11;PAGAMENTO IPVA-CANAIS INTERNET LICENCIAMENTO EL;0;-59,98
08/01/2016 ;Alimentação;1;DEBITO VISA ELECTRON BRASIL 08/01 CASA DO PASTEL;163686;-5
08/01/2016 ;Alimentação;1;DEBITO VISA ELECTRON BRASIL 08/01 NOEMIA MOTUBO U;345486;-5
08/01/2016 ;Alimentação;1;DEBITO VISA ELECTRON BRASIL 08/01 TEMAKI CAFE;161486;-37,29
08/01/2016 ;Outras despesas;6;DEBITO VISA ELECTRON BRASIL 08/01 PAPER STORE;594886;-12,4
08/01/2016 ;Outras despesas;6;DEBITO VISA ELECTRON BRASIL 08/01 SUPERMERCADO JO;22686;-15,76
11/01/2016 ;Outras despesas;6;TARIFA DOCINTERNET 07/01/2016;0;-7,95
11/01/2016 ;Saúde;10;DEBITO VISA ELECTRON BRASIL 09/01 LABORAMEDI TATU;153886;-75,74
11/01/2016 ;Transporte;11;DEBITO VISA ELECTRON BRASIL 10/01 AUTO POSTO RENO;584386;-50
11/01/2016 ;Lazer;4;DEBITO VISA ELECTRON BRASIL 10/01 VIOLETA RESTAUR;161086;-30,8
11/01/2016 ;Alimentação;1;DEBITO VISA ELECTRON BRASIL 11/01 SORVETAO;545386;-9
11/01/2016 ;Outros rendimentos;7;PAGAMENTO A FORNECEDORES CNPJ 057978850000186;10111;355,46
13/01/2016 ;Transporte;11;DEBITO VISA ELECTRON BRASIL 13/01 ESTACIONAMENTO;45086;-9
14/01/2016 ;Alimentação;1;DEBITO VISA ELECTRON BRASIL 14/01 PADARIA DELICIA;133786;-23,8
14/01/2016 ;Celular;2;RECARGA TELEFONE CELULAR IB 11 *****6651 TIM BRASI;0;-15
18/01/2016 ;Transporte;11;DEBITO VISA ELECTRON BRASIL 18/01 POSTO RENOVACAO;485286;-50
18/01/2016 ;Roupas;8;DEBITO VISA ELECTRON BRASIL 18/01 ZARA.ANALIA FRA;213786;-78
18/01/2016 ;Outros rendimentos;7;REMUNERACAO CONTAMAX CDB;0;7,82
19/01/2016 ;Alimentação;1;DEBITO VISA ELECTRON BRASIL 19/01 PADARIA DELICIA;495186;-5,4
19/01/2016 ;Alimentação;1;DEBITO VISA ELECTRON BRASIL 19/01 RV FAST FOOD;404986;-13
19/01/2016 ;Alimentação;1;DEBITO VISA ELECTRON BRASIL 19/01 PADARIA DELICIA;95286;-12
19/01/2016 ;Roupas;8;DEBITO VISA ELECTRON BRASIL 19/01 C.A.SHOP.TATUAP;95586;-39,98
20/01/2016 ;Alimentação;1;DEBITO VISA ELECTRON BRASIL 20/01 ESFIHA NOVO MUN;151586;-20
21/01/2016 ;Alimentação;1;DEBITO VISA ELECTRON BRASIL 21/01 PADARIA DELICIA;343986;-4,07
21/01/2016 ;Alimentação;1;DEBITO VISA ELECTRON BRASIL 21/01 RB FAST FOOD;211486;-13
21/01/2016 ;Celular;2;RECARGA TELEFONE CELULAR IB 11 *****6651 TIM BRASI;0;-20
22/01/2016 ;Alimentação;1;DEBITO VISA ELECTRON BRASIL 22/01 PADARIA DELICIA;560386;-8,4
22/01/2016 ;Alimentação;1;DEBITO VISA ELECTRON BRASIL 22/01 RB FAST FOOD;254386;-17,5
25/01/2016 ;Outras despesas;6;DEBITO VISA ELECTRON BRASIL 23/01 INSTITUTO DE BE;524086;-20
25/01/2016 ;Outras despesas;6;DEBITO VISA ELECTRON BRASIL 23/01 SUPERMERCADO JO;234186;-10,09
25/01/2016 ;Outras despesas;6;SAQUE NO BANCO 24 HORAS;613485;-40
25/01/2016 ;Transporte;11;DEBITO VISA ELECTRON BRASIL 23/01 POSTO RENOVACAO;323686;-60
25/01/2016 ;Saúde;10;DEBITO VISA ELECTRON BRASIL 23/01 DROGALIS ARUJA;1786;-7,2
25/01/2016 ;Lazer;4;DEBITO VISA ELECTRON BRASIL 23/01 PAGSEGURO;220986;-150
25/01/2016 ;Lazer;4;DEBITO VISA ELECTRON BRASIL 24/01 ACAI TATUAPE;451186;-35,6
25/01/2016 ;Lazer;4;DEBITO VISA ELECTRON BRASIL 25/01 MARE;353986;-175
25/01/2016 ;Alimentação;1;DEBITO VISA ELECTRON BRASIL 25/01 MC DONALDS.A.FR;161086;-53
25/01/2016 ;Outras despesas;6;PGTO TITULO OUTRO BCO - INTERNET PONTOFRIO.COM;215113;-108,97
26/01/2016 ;Alimentação;1;DEBITO VISA ELECTRON BRASIL 26/01 PADARIA DELICIA;62586;-9,5
26/01/2016 ;Alimentação;1;DEBITO VISA ELECTRON BRASIL 26/01 RB FAST FOOD;354986;-16
26/01/2016 ;Alimentação;1;DEBITO VISA ELECTRON BRASIL 26/01 PADARIA DELICIA;314386;-5,5
27/01/2016 ;Moradia;5;PAGAMENTO CONTA LUZ EM CANAIS INTERNET AES ELETROPAULO;0;-92,56
27/01/2016 ;Outras despesas;6;TAR EXTR CONSOLIDADO INTELIGENTE 25/01/2016;0;-5,8
27/01/2016 ;Moradia;5;DEBITO AUT. CONTA AGUA E ESGOTO SABESP;0;-28,9
27/01/2016 ;Alimentação;1;DEBITO VISA ELECTRON BRASIL 27/01 RV FAST FOOD;450586;-13
27/01/2016 ;Alimentação;1;DEBITO VISA ELECTRON BRASIL 27/01 PADARIA DELICIA;75886;-5,5
28/01/2016 ;Alimentação;1;DEBITO VISA ELECTRON BRASIL 28/01 RB FAST FOOD;171086;-13
29/01/2016 ;Alimentação;1;DEBITO VISA ELECTRON BRASIL 29/01 PADARIA DELICIA;120986;-17,23
29/01/2016 ;Outras despesas;6;DEBITO VISA ELECTRON BRASIL 29/01 LOJA DE ACESSOR;291986;-21
01/02/2016 ;Transporte;11;DEBITO VISA ELECTRON BRASIL 30/01 POSTO RENOVACAO;173186;-58
01/02/2016 ;Lazer;4;DEBITO VISA ELECTRON BRASIL 30/01 GRANDE HOTEL BR;563986;-145
01/02/2016 ;Saúde;10;DEBITO VISA ELECTRON BRASIL 30/01 FARMA CONDE;282486;-7,89
01/02/2016 ;Lazer;4;DEBITO VISA ELECTRON BRASIL 30/01 EMPORIO SANTO A;353986;-39,28
01/02/2016 ;Lazer;4;DEBITO VISA ELECTRON BRASIL 30/01 ADELAR ASCOLI;591986;-23,78
01/02/2016 ;Lazer;4;DEBITO VISA ELECTRON BRASIL 31/01 GRANDE HOTEL BR;485886;-6
01/02/2016 ;Lazer;4;DEBITO VISA ELECTRON BRASIL 31/01 TRAIRAGEM;403186;-28,6
01/02/2016 ;Saúde;10;DEBITO AUTOM EMPRESAS CONVENIADAS ESC. BIO PAULI;0;-55,23
01/02/2016 ;Transporte;11;DEBITO VISA ELECTRON BRASIL 01/02 POSTO RENOVACAO;522386;-50
01/02/2016 ;Alimentação;1;DEBITO VISA ELECTRON BRASIL 01/02 PANIFICADORA ER;84086;-5,5
02/02/2016 ;Alimentação;1;DEBITO VISA ELECTRON BRASIL 02/02 FACEFOOD LANCHO;554986;-9
02/02/2016 ;Cartão de crédito;12;PAGAMENTO CARTAO CREDITO BCE 02/02 13:58 CARTAO VISA;135812;-369,39
03/02/2016 ;Saúde;10;DEBITO VISA ELECTRON BRASIL 03/02 DROGARIA SAO PA;231986;-111,58
04/02/2016 ;Alimentação;1;DEBITO VISA ELECTRON BRASIL 04/02 HORTIFRUTI;452286;-4
05/02/2016 ;Salário;9;PAGAMENTO A FORNECEDORES CNPJ 057978850000186;10205;2.092,99
05/02/2016 ;Outras despesas;6;DEBITO VISA ELECTRON BRASIL 06/02 CAPPELA DO FRAD;350686;-44,75
10/02/2016 ;Outras despesas;6;DEBITO VISA ELECTRON BRASIL 06/02 JUAN D A RIVAS;264786;-28
10/02/2016 ;Outras despesas;6;DEBITO VISA ELECTRON BRASIL 06/02 SUPERMERCADO JO;353086;-31,28
10/02/2016 ;Alimentação;1;DEBITO VISA ELECTRON BRASIL 06/02 LANCHONETE BARR;402286;-3
10/02/2016 ;Transporte;11;DEBITO VISA ELECTRON BRASIL 08/02 AUTO POSTO RENO;411486;-50
10/02/2016 ;Transporte;11;PAGAMENTO IPVA-CANAIS INTERNET LICENCIAMENTO EL;0;-59,96
10/02/2016 ;Celular;2;RECARGA TELEFONE CELULAR IB 11 *****6651 TIM BRASI;0;-15
10/02/2016 ;Lazer;4;DEBITO VISA ELECTRON BRASIL 09/02 MANIFESTO BAR;35386;-123,34
10/02/2016 ;Alimentação;1;DEBITO VISA ELECTRON BRASIL 10/02 PADARIA DELICIA;523086;-16,09
10/02/2016 ;Outros rendimentos;7;REMUNERACAO CONTAMAX CDB;0;5,33
15/02/2016 ;Transporte;11;DEBITO VISA ELECTRON BRASIL 13/02 POSTO RENOVACAO;15486;-50
15/02/2016 ;Outras despesas;6;DEBITO VISA ELECTRON BRASIL 13/02 COMERCIAL ESPER;103586;-12,31
15/02/2016 ;Transporte;11;DEBITO VISA ELECTRON BRASIL 14/02 PERTO METRO SAO;43186;-30
15/02/2016 ;Alimentação;1;DEBITO VISA ELECTRON BRASIL 14/02 MC DONALDS LGT;3786;-7
15/02/2016 ;Educação;3;PAGAMENTO DE TITULOS - BCE;150123;-1.804,75
16/02/2016 ;Outras despesas;6;DEBITO VISA ELECTRON BRASIL 16/02 SUPERMERCADO NE;255786;-11,62
16/02/2016 ;Lazer;4;TRANSF VALOR P/ CONTA DIF TITULAR PARA: 4774.01.083902-9;483044;-25,53
17/02/2016 ;Lazer;4;PGTO TITULO OUTRO BCO - INTERNET MOIP PAGAMENTOS S.A.;223726;-22
17/02/2016 ;Transporte;11;DEBITO VISA ELECTRON BRASIL 17/02 ESTACIONAMENTO.;544386;-8
22/02/2016 ;Outras despesas;6;DEBITO VISA ELECTRON BRASIL 20/02 MULTICOMERCIAL;192480;-8,5
22/02/2016 ;Outras despesas;6;DEBITO VISA ELECTRON BRASIL 20/02 NODAJI ELETRON;355280;-25
22/02/2016 ;Alimentação;1;DEBITO VISA ELECTRON BRASIL 20/02 STA EFIGENIA PA;13080;-12,5
22/02/2016 ;Transporte;11;DEBITO VISA ELECTRON BRASIL 20/02 POSTO RENOVACAO;124180;-58
22/02/2016 ;Alimentação;1;DEBITO VISA ELECTRON BRASIL 22/02 PADARIA DELICIA;463080;-4,59
22/02/2016 ;Alimentação;1;DEBITO VISA ELECTRON BRASIL 22/02 RB FAST FOOD;431280;-13
23/02/2016 ;Alimentação;1;DEBITO VISA ELECTRON BRASIL 23/02 PADARIA DELICIA;133680;-4,69
23/02/2016 ;Alimentação;1;DEBITO VISA ELECTRON BRASIL 23/02 NOVA GRILL;594480;-20,49
23/02/2016 ;Celular;2;RECARGA TELEFONE CELULAR IB 11 *****6651 TIM BRASI;0;-20
24/02/2016 ;Moradia;5;DEBITO AUT. CONTA AGUA E ESGOTO SABESP;0;-28,9
24/02/2016 ;Saúde;10;DEBITO VISA ELECTRON BRASIL 24/02 DROGARIA VIVER;362680;-29,75
24/02/2016 ;Outras despesas;6;DEBITO VISA ELECTRON BRASIL 24/02 MERCADO GAGUINH;411080;-5,6
24/02/2016 ;Lazer;4;DEBITO VISA ELECTRON BRASIL 24/02 ESPETO MADEIRA;451680;-181,72
25/02/2016 ;Outras despesas;6;TAR EXTR CONSOLIDADO INTELIGENTE 23/02/2016;0;-5,8
25/02/2016 ;Alimentação;1;DEBITO VISA ELECTRON BRASIL 25/02 NOVA GRILL;423280;-20,49
26/02/2016 ;Alimentação;1;DEBITO VISA ELECTRON BRASIL 26/02 A BRUNETH PAES;535380;-9
29/02/2016 ;Outras despesas;6;DEBITO VISA ELECTRON BRASIL 27/02 PAYLEVEN;370080;-8,5
29/02/2016 ;Outras despesas;6;DEBITO VISA ELECTRON BRASIL 27/02 TRAPEZIO AUTO P;132980;-20
29/02/2016 ;Outras despesas;6;DEBITO VISA ELECTRON BRASIL 27/02 TRAPEZIO AUTO P;173080;-17
29/02/2016 ;Alimentação;1;DEBITO VISA ELECTRON BRASIL 29/02 RB FAST FOOD;494780;-13
29/02/2016 ;Alimentação;1;DEBITO VISA ELECTRON BRASIL 29/02 PADARIA DELICIA;343880;-9,5
01/03/2016 ;Saúde;10;DEBITO AUTOM EMPRESAS CONVENIADAS ESC. BIO PAULI;0;-55,23
01/03/2016 ;Saúde;10;DEBITO AUTOM EMPRESAS CONVENIADAS ESC. BIO PAULI;0;-99,9
01/03/2016 ;Transporte;11;DEBITO VISA ELECTRON BRASIL 01/03 POSTO RENOVACAO;572280;-50
01/03/2016 ;Alimentação;1;DEBITO VISA ELECTRON BRASIL 01/03 PADARIA DELICIA;174580;-6,37
01/03/2016 ;Alimentação;1;DEBITO VISA ELECTRON BRASIL 01/03 J J GRILL;210880;-21,49
02/03/2016 ;Alimentação;1;DEBITO VISA ELECTRON BRASIL 02/03 PADARIA DELICIA;551580;-7
03/03/2016 ;Alimentação;1;DEBITO VISA ELECTRON BRASIL 03/03 SUPERMERCADO SU;561180;-7,25
03/03/2016 ;Alimentação;1;DEBITO VISA ELECTRON BRASIL 03/03 J J GRILL;21880;-21,5
03/03/2016 ;Celular;2;RECARGA TELEFONE CELULAR IB 11 *****6651 TIM BRASI;0;-20
04/03/2016 ;Salário;9;PAGAMENTO A FORNECEDORES CNPJ 057978850000186;10304;3.291,41
04/03/2016 ;Cartão de crédito;12;PAGAMENTO CARTAO CREDITO BCE 04/03 16:46 CARTAO VISA;164635;-419,1
04/03/2016 ;Educação;3;PAGAMENTO DE TITULOS - BCE;164812;-614,37
04/03/2016 ;Educação;3;PAGAMENTO DE TITULOS - BCE;165008;-1.794,54
07/03/2016 ;Outras despesas;6;SAQUE NO BANCO 24 HORAS;759189;-40
07/03/2016 ;Lazer;4;DEBITO VISA ELECTRON BRASIL 05/03 SUPERMERCADO JO;575680;-13,48
07/03/2016 ;Transporte;11;DEBITO VISA ELECTRON BRASIL 05/03 PERTO METRO SAO;293380;-20
07/03/2016 ;Lazer;4;DEBITO VISA ELECTRON BRASIL 06/03 IBOTIRAMA 2004;11180;-5
07/03/2016 ;Lazer;4;DEBITO VISA ELECTRON BRASIL 06/03 IBOTIRAMA 2004;301980;-18,5
07/03/2016 ;Lazer;4;DEBITO VISA ELECTRON BRASIL 06/03 LAB;51680;-30
07/03/2016 ;Alimentação;1;DEBITO VISA ELECTRON BRASIL 06/03 STMARCHE ANALIA;594180;-10,96
07/03/2016 ;Alimentação;1;DEBITO VISA ELECTRON BRASIL 07/03 DIVINA COMIDA;554580;-12
08/03/2016 ;Alimentação;1;DEBITO VISA ELECTRON BRASIL 08/03 SAO JOAO PAES E;584780;-14
10/03/2016 ;Alimentação;1;DEBITO VISA ELECTRON BRASIL 10/03 PADARIA DELICIA;482780;-12,25
14/03/2016 ;Transporte;11;DEBITO VISA ELECTRON BRASIL 13/03 PARE BEM ESTACI;64780;-14
14/03/2016 ;Transporte;11;PAGAMENTO IPVA-CANAIS INTERNET LICENCIAMENTO EL;781000;-59,96
16/03/2016 ;Alimentação;1;DEBITO VISA ELECTRON BRASIL 16/03 STMARCHE ANALIA;475980;-28,48
16/03/2016 ;Saúde;10;DEBITO VISA ELECTRON BRASIL 16/03 DROGARIA SAO PA;321880;-11,98
18/03/2016 ;Transporte;11;DEBITO VISA ELECTRON BRASIL 18/03 POSTO RENOVACAO;83880;-50
21/03/2016 ;Alimentação;1;DEBITO VISA ELECTRON BRASIL 19/03 FREVO;212580;-84,3
21/03/2016 ;Transporte;11;DEBITO VISA ELECTRON BRASIL 19/03 NOVOTEL JARAGUA;13880;-30
22/03/2016 ;Alimentação;1;DEBITO VISA ELECTRON BRASIL 22/03 PANIF.E CONF.A;53880;-4,8
23/03/2016 ;Alimentação;1;DEBITO VISA ELECTRON BRASIL 23/03 STMARCHE ANALIA;210680;-27,95
24/03/2016 ;Transporte;11;DEBITO VISA ELECTRON BRASIL 24/03 POSTO RENOVACAO;135980;-30
28/03/2016 ;Outras despesas;6;TAR EXTR CONSOLIDADO INTELIGENTE 23/03/2016;0;-5,8
28/03/2016 ;Lazer;4;DEBITO VISA ELECTRON BRASIL 26/03 FUSCA AZUL BAR;403780;-14
28/03/2016 ;Lazer;4;DEBITO VISA ELECTRON BRASIL 27/03 FUSCA AZUL BAR;195980;-31
28/03/2016 ;Moradia;5;DEBITO AUT. CONTA AGUA E ESGOTO SABESP;0;-28,9
