01/09/2016 ;;DEBITO AUTOM EMPRESAS CONVENIADAS ESC. BIO PAULI;000000;-79,90;0,00
01/09/2016 ;;DEBITO VISA ELECTRON BRASIL 01/09 POSTO RENOVACAO;315180;-82,00;0,00
01/09/2016 ;;RECARGA TELEFONE CELULAR IB 11 *****6651 TIM BRASI;000000;-15,00;0,00
01/09/2016 ;;REMUNERACAO CONTAMAX CDB DI;000000;0,59;4.545,88
02/09/2016 ;;DEBITO VISA ELECTRON BRASIL 02/09 BAR EMPORIO NOR;563780;-34,00;0,00
02/09/2016 ;;DEBITO VISA ELECTRON BRASIL 02/09 JOMAN H LTDA;002480;-49,00;0,00
02/09/2016 ;;REMUNERACAO CONTAMAX CDB DI;000000;0,28;4.463,16
05/09/2016 ;;DEBITO VISA ELECTRON BRASIL 03/09 SUPERRCADO GARO;440780;-7,28;0,00
05/09/2016 ;;SAQUE NO BANCO 24 HORAS;521265;-50,00;0,00
05/09/2016 ;;DEBITO VISA ELECTRON BRASIL 03/09 SUPERRCADO GARO;030580;-11,56;0,00
05/09/2016 ;;PAGAMENTO CARTAO CREDITO BCE 04/09 17:47 CARTAO VISA;174730;-111,81;0,00
05/09/2016 ;;REMUNERACAO CONTAMAX CDB DI;000000;0,63;4.283,14
06/09/2016 ;;LIQUIDO DE VENCIMENTO CNPJ 057978850000186;010906;3.458,76;7.741,90
09/09/2016 ;;DEBITO VISA ELECTRON BRASIL 09/09 ESTACIONAMENTO.;384880;-8,00;0,00
09/09/2016 ;;RECARGA TELEFONE CELULAR IB 11 *****6651 TIM BRASI;000000;-20,00;0,00
09/09/2016 ;;DEBITO VISA ELECTRON BRASIL 09/09 SUPERMERCADO JO;394980;-62,73;0,00
09/09/2016 ;;SAQUE NO BANCO 24 HORAS;120313;-200,00;0,00
09/09/2016 ;;DEBITO VISA ELECTRON BRASIL 09/09 ECOVALE CONVENI;584280;-7,99;0,00
09/09/2016 ;;REMUNERACAO CONTAMAX CDB DI;000000;1,12;7.444,30
15/09/2016 ;;RESTITUICAO IMPOSTO DE RENDA PF DOC IRPF;202003;671,30;0,00
15/09/2016 ;;DEBITO VISA ELECTRON BRASIL 15/09 POSTO RENOVACAO;174380;-50,00;8.065,60
16/09/2016 ;;DEBITO VISA ELECTRON BRASIL 16/09 PADARIA LISBOA;513180;-9,70;0,00
16/09/2016 ;;REMUNERACAO CONTAMAX CDB DI;000000;0,03;8.055,93
19/09/2016 ;;DEBITO VISA ELECTRON BRASIL 17/09 SUPERMERCADO JO;470580;-33,81;0,00
